,상품이름,무게,칼로리,지방,탄수화물,단백질
1294,보성녹차크림샌드,1인분 (170g)당,473kcal,13.00g,81.00g,8.00g
1295,갈비양념치킨미니샐러드,100g당,162kcal,10.00g,11.00g,7.00g
1296,대왕고기산적,1인분 (455g)당,918kcal,42.00g,93.00g,42.00g
1297,한컵순대족발,100g당,206kcal,4.40g,35.00g,7.00g
1298,신난닭볶음마요,1갸 (102g)당,191kcal,3.00g,37.00g,4.00g
1299,대왕유부삼각스팸,1인분 (128g)당,242kcal,6.00g,40.00g,7.00g
1300,대왕스팸덮밥,1인분 (340g)당,593kcal,21.00g,84.00g,17.00g
1301,벌써 벚꽃,1인분 (35g)당,97kcal,1.00g,19.00g,3.00g
1302,데미그라스 함박 파스타,1인분 (350g)당,701kcal,41.00g,62.00g,21.00g
1303,벌써벚꽃,1인분 (35g)당,97kcal,1.00g,19.00g,3.00g
1304,땡초크랩 삼각김밥,1회 (110g)당,179kcal,3.00g,33.00g,5.00g
1305,땡초크랩,1인분 (110g)당,179kcal,3.00g,33.00g,5.00g
1306,딸기 치즈링,1회 (76g)당,227kcal,7.00g,34.00g,7.00g
1307,대만식 연유샌드위치,1인분 (135g)당,397kcal,21.00g,41.00g,11.00g
1308,치즈소고기김밥,1인분 (248g)당,373kcal,9.00g,58.00g,15.00g
1309,짭짤고소 스팸마요,1 인분 (155g)당,314kcal,10.00g,49.00g,7.00g
1310,스테이크 치즈 샌드위치,100g당,373kcal,17.00g,44.00g,11.00g
1311,큐브베이컨참마,1개 (105g)당,205kcal,5.00g,34.00g,6.00g
1312,달콤한 소라형 과자,1봉지 (130g)당,675kcal,34.00g,81.00g,11.00g
1313,진간장불고기,1인분 (251g)당,380kcal,8.00g,61.00g,16.00g
1314,스팸모닝머핀,1개 (130g)당,310kcal,18.00g,28.00g,10.00g
1315,크랜베리 단호박 샐러드,1인분 (200g)당,400kcal,23.00g,45.00g,3.00g
1316,찍어먹는 참치김밥,1개 (275g)당,453kcal,21.00g,49.00g,17.00g
1317,매콤순살치킨 빅밥바,1개 (225g)당,522kcal,22.00g,64.00g,17.00g
1318,무도빠 화끈한 불장난,100g당,125kcal,2.20g,15.00g,12.00g
1319,울트라 라떼,1컵 (250ml)당,182kcal,7.50g,22.00g,6.50g
1320,오다리라면 치즈맛,1컵  (91g)당,380kcal,12.00g,61.00g,7.00g
1321,3XL치킨버거,1인분 (402g)당,1136kcal,56.00g,124.00g,34.00g
1322,에그VS치킨 샌드위치,1팩 (120g)당,297kcal,13.00g,32.00g,13.00g
1323,달콤통비엔나,1개 (105g)당,209kcal,5.00g,36.00g,5.00g
1324,뿌먹치밥,1회 (280g)당,615kcal,23.00g,72.00g,30.00g
1325,팔도진미 전라도편,1회당,615kcal,19.00g,86.00g,25.00g
1326,검은깨라떼바,1회 (80ml)당,130kcal,4.90g,19.00g,2.00g
1327,바로먹는 시원한 물냉면,1인분 (253g)당,90kcal,0.00g,20.00g,2.00g
1328,쉬림프튜나미니샐러드,1인분 (135g)당,172kcal,12.00g,12.00g,4.00g
1329,뉴요크 샌드위치,1인분 (175g)당,411kcal,19.00g,45.00g,15.00g
1330,투&투 샌드위치,1인분 (169g)당,357kcal,13.00g,52.00g,8.00g
1331,유산슬비빔면,1인분 (250g)당,355kcal,3.40g,69.00g,12.00g
1332,베리베리 샌드위치,1개 (113g)당,340kcal,12.00g,49.00g,9.00g
1333,떡갈비 빅밥바,1인분 (177g)당,384kcal,16.00g,46.00g,14.00g
1334,뉴트롤,1인분 (279g)당,506kcal,10.00g,86.00g,18.00g
1335,매콤한치킨마요버거,1회 (140g)당,420kcal,26.00g,33.00g,13.00g
1336,뿌먹돈까스,1개 (370g)당,754kcal,22.00g,115.00g,24.00g
1337,복숭아크림빵,1봉지 (120g)당,432kcal,16.00g,65.00g,7.00g
1338,카레&닭 빼빼한 롱김밥,1회 (130g)당,236kcal,8.00g,34.00g,7.00g
1339,만능볶음고추장김밥,1줄 (200g)당,324kcal,8.00g,55.00g,8.00g
1340,만능볶음고추장도시락,1회 (415g)당,852kcal,32.00g,109.00g,32.00g
1341,콰트로 치즈 감자칩,1봉 (72g)당,365kcal,19.00g,45.00g,4.00g
1342,유자치킨햄 샌드위치,1회 (135g)당,243kcal,7.00g,34.00g,11.00g
1343,데리야끼 꼬꼬닭 삼각김밥,1회 (105g)당,179kcal,2.10g,36.00g,4.00g
1344,불타는참치마요,100g당,194kcal,6.00g,30.00g,5.00g
1345,고기쌈김밥 곱창불고기,1인분 (235g)당,492kcal,16.00g,60.00g,27.00g
1346,스파이시 클럽 샌드위치,1회 (130g)당,298kcal,14.00g,32.00g,11.00g
1347,ㅇㅈ?ㅇㅇㅈ,1회 (190g)당,570kcal,27.00g,75.00g,7.00g
1348,달콤 키위 샌드위치,1회 (145g)당,347kcal,15.00g,48.00g,5.00g
1349,떡쭈빠빠오,1회 (170g)당,369kcal,9.00g,57.00g,15.00g
1350,오귤오귤,1인분 (35g)당,112kcal,1.30g,23.00g,2.00g
1351,보성녹돈등심돈까스버거,1인분 (200g)당,451kcal,19.00g,52.00g,18.00g
1352,NO.1 넘버원 도시락,1인분 (420g)당,952kcal,44.00g,104.00g,35.00g
1353,클래식마들렌,1인분 (85g)당,393kcal,21.00g,45.00g,6.00g
1354,만능양파햄샌드위치,1인분 (210g)당,641kcal,37.00g,60.00g,17.00g
1355,참치포테이토,1인분 (205g)당,335kcal,15.00g,37.00g,13.00g
1356,꾸덕한고구마슈,1인분 (120g)당,306kcal,22.00g,23.00g,4.00g
1357,500라면,1봉지 (115g)당,495kcal,17.00g,77.00g,9.00g
1358,투머치하닭,1개 (435g)당,796kcal,32.00g,73.00g,54.00g
1359,완도전복감태김밥,1인분 (260g)당,478kcal,18.00g,69.00g,10.00g
1360,THE매운맛라면,1회 (110g)당,500kcal,20.00g,68.00g,12.00g
1361,반반오므라이스,1인분 (450g)당,532kcal,12.00g,92.00g,14.00g
1362,녹차청크 로얄쿠키,1인분 (70g)당,343kcal,13.00g,52.00g,4.00g
1363,프로틴볼스,1인분 (30g)당,175kcal,9.00g,14.00g,9.00g
1364,매콤담백참치김치볶음밥,100g당,181kcal,4.50g,30.00g,5.00g
1365,스팸간장덮밥,1인분 (322g)당,613kcal,21.00g,87.00g,19.00g
1366,2XL 참치마요,1개 (160g)당,292kcal,8.00g,45.00g,10.00g
1367,고로케는 뜬뜬,1인분 (90g)당,244kcal,8.00g,35.00g,8.00g
1368,제육한끼,1인분 (325g)당,516kcal,12.00g,83.00g,19.00g
1369,잇츠더블버거(치킨&불고기),1회 (180g)당,385kcal,10.00g,53.00g,20.00g
1370,매콤 순살 치킨버거,1회 (160g)당,411kcal,23.00g,36.00g,15.00g
1371,매운불밥바,1회 (175g)당,314kcal,9.00g,49.00g,9.00g
1372,리얼감자스틱 매콤달콤,1봉지 (54g)당,300kcal,19.00g,29.00g,3.00g
1373,사과퐁당요구르트,1컵 (80ml)당,52kcal,0.00g,12.00g,1.00g
1374,자떡라볶이,1인분 (300g)당,685kcal,3.20g,147.00g,18.00g
1375,1000콘,1회 (140ml)당,196kcal,11.00g,29.90g,5.40g
1376,순삭토스트 햄치즈,1회 (183g)당,322kcal,10.00g,41.00g,17.00g
1377,자연인김밥,1인분 (335g)당,589kcal,21.00g,81.00g,19.00g
1378,칼로리단슈닭샐러드,1인분 (200g)당,120kcal,1.90g,16.00g,10.00g
1379,콩가루주의보,1인분 (110g)당,402kcal,18.00g,51.00g,9.00g
1380,달콤칠리닭가슴살&병아리콩잡곡밥,1인분 (210g)당,285kcal,4.30g,42.00g,19.00g
1381,우쥬베리미 샐러드,1회 (127g)당,115kcal,4.30g,16.00g,3.00g
1382,매콤어묵만능밥,100g당,229kcal,4.10g,44.00g,4.00g
1383,인도식치킨마크니볼,1인분 (182g)당,275kcal,15.00g,23.00g,12.00g
1384,바로 먹는 시원한 물냉면,1인분 (253g)당,90kcal,0.00g,20.00g,2.00g
1385,우쥬베리미,1인분 (135g)당,282kcal,14.00g,35.00g,4.00g
1386,토마토 스크램블 샌드위치,1팩 (130g)당,320kcal,16.00g,38.00g,6.00g
1387,우유목장,1회 (305ml)당,250kcal,9.00g,38.00g,4.00g
1388,팔도진미주먹밥 전라도편,1회 (160g)당,261kcal,3.20g,50.00g,8.00g
1389,빅민트초코슈,1회 (135g)당,396kcal,24.00g,38.00g,7.00g
1390,달콤통돈까스,100g당,194kcal,6.00g,30.00g,5.00g
1391,멕시칸타코버거,1개 (160g)당,377kcal,21.00g,36.00g,11.00g
1392,명란크랩마요,1회 (220g)당,352kcal,12.00g,53.00g,8.00g
1393,모찌모찌롤 그린티,1회 (75g)당,230kcal,9.00g,33.00g,4.00g
1394,프로방스미니샐러드,100g당,194kcal,14.00g,11.00g,6.00g
1395,치킨리또리또,1인분 (405g)당,694kcal,18.00g,100.00g,33.00g
1396,토달토달 샌드위치,1인분 (145g)당,301kcal,13.00g,39.00g,7.00g
1397,화이트갈릭 미트버거,1인분 (175g)당,392kcal,16.00g,49.00g,13.00g
1398,빽다방 초코바나나콘,1인분 (160ml)당,255kcal,11.00g,34.00g,5.00g
1399,ㅇㄱㄹㅇㅂㅂㅂㄱ,1회 (190g)당,555kcal,27.00g,71.00g,6.00g
1400,원형 전주비빔밥,1개 (120g)당,178kcal,2.30g,33.00g,6.00g
1401,파닭맛스낵,1/2봉지 (36g)당,170kcal,6.00g,26.00g,3.00g
1402,매콤순살치킨밥바,1봉지 (225g)당,495kcal,23.00g,58.00g,14.00g
1403,고구마아몬드샐러드,1회 (200g)당,345kcal,14.00g,51.00g,4.00g
1404,힘나다샤인,1병 (190ml)당,86kcal,1.10g,18.00g,1.00g
1405,GET 로어슈거라떼,1병 (280ml)당,119kcal,6.50g,10.00g,5.00g
1406,스팸콘샐러드,100g당,169kcal,4.60g,28.00g,4.00g
1407,짝꿍도그,1인분 (180g)당,541kcal,25.00g,66.00g,13.00g
1408,고기쌈김밥 간장불고기,1인분 (235g)당,460kcal,16.00g,55.00g,24.00g
1409,갈릭베이컨포테이토샐러드,1팩 (200g)당,330kcal,21.00g,30.00g,5.00g
1410,만능비빔간장 도시락,1인분 (410g)당,894kcal,42.00g,101.00g,28.00g
1411,속편한 우엉유부,1회 (205g)당,346kcal,6.00g,63.00g,10.00g
1412,크림마요치킨 머핀샌드,1회 (140g)당,339kcal,19.00g,32.00g,10.00g
1413,파송송마늘빵,1인분 (105g)당,322kcal,14.00g,43.00g,6.00g
1414,대만식초코크림샌드위치,1인분 (125g)당,377kcal,17.00g,46.00g,10.00g
1415,보성녹차 크림샌드,1인분 (170g)당,473kcal,13.00g,81.00g,8.00g
1416,투머치즈김치볶음밥,1인분 (295g)당,672kcal,28.00g,77.00g,28.00g
1417,스팸2배마요김밥,1개 (210g)당,421kcal,17.00g,58.00g,9.00g
1418,The 부드러운 치킨단호박 샌드위치,1인분 (135g)당,302kcal,14.00g,34.00g,10.00g
1419,올블랙 치킨버거,1회 (161g)당,380kcal,14.00g,45.00g,19.00g
1420,통모짜렐라 풀드치킨버거,1개 (140g)당,340kcal,11.00g,35.00g,25.00g
1421,치즈스틱인더버거,1개 (171g)당,455kcal,20.00g,51.00g,18.00g
1422,통통방울비엔나 삼각김밥,1회 (99g)당,152kcal,3.60g,26.00g,4.00g
1423,듬뿍땅콩크림빵,1인분 (80g)당,366kcal,18.00g,44.00g,7.00g
1424,부드럽고 연한 소불고기 정식,1인분 (380g)당,484kcal,8.00g,82.00g,21.00g
1425,꼬꼬덮밥 간장맛,1회 (239g)당,415kcal,11.00g,64.00g,15.00g
1426,불향가득 매콤불고기,1인분 (150g)당,268kcal,4.40g,47.00g,10.00g
1427,오븐에 구운 도넛,1인분 (40g)당,175kcal,7.00g,26.00g,2.00g
1428,갈릭딥핑점보핫도그,1 인분 (150g)당,486kcal,30.00g,31.00g,23.00g
1429,뚱한 메가 돈's바,100g당,268kcal,21.23g,3.66g,15.59g
1430,트리플고기정식,1인분 (416g)당,692kcal,20.00g,97.00g,31.00g
1431,트리플 고기정식,1인분 (416g)당,692kcal,20.00g,97.00g,31.00g
1432,채식주의 콩고기 삼각김밥,1인분 (105g)당,187kcal,3.00g,34.00g,6.00g
1433,신제육볶음김밥,1개 (243g)당,405kcal,9.00g,63.00g,18.00g
