,상품이름,무게,칼로리,지방,탄수화물,단백질
239,거꾸로 초코블랑,1개 (48g)당,214kcal,10.00g,29.00g,2.00g
240,부드럽고 연한 닭가슴살,1인분 (110g)당,120kcal,0.90g,2.00g,26.00g
241,콘초코플러스,1봉지 (76g)당,425kcal,26.00g,43.00g,5.00g
242,자이언트 쫄볶이,1회 (320g)당,700kcal,2.60g,158.00g,15.00g
243,Big 스팸마요,1인분 (155g)당,310kcal,10.00g,48.00g,7.00g
244,어른우유,1인분 (250g)당,220kcal,7.00g,33.00g,7.00g
245,통!스팸마요김볶,1인분 (103g)당,192kcal,4.40g,33.00g,5.00g
246,청양고추라면,1컵 (97g)당,430kcal,15.00g,66.00g,8.00g
247,다쿠아즈 딸기,1개 (26g)당,95kcal,4.20g,13.00g,1.00g
248,참치왕 유부초밥,5개 (250g)당,498kcal,18.00g,66.00g,18.00g
249,우유생크림 케이크,100g당,575kcal,33.00g,61.00g,7.00g
250,치킨시저샐러드,1회 (160g)당,220kcal,17.00g,5.00g,12.00g
251,마요계란밥,1인분 (155g)당,311kcal,11.00g,43.00g,10.00g
252,스팸마요계란밥,1인분 (155g)당,311kcal,11.00g,43.00g,10.00g
253,고소한 마늘바게트,1봉지 (108g)당,540kcal,24.00g,69.00g,12.00g
254,타로 버블티,1컵 (250ml)당,160kcal,3.80g,28.00g,4.00g
255,뿌려먹는 자연치즈 모짜렐라,1컵 (20g)당,59kcal,4.30g,0.00g,5.00g
256,서울우유 딸기샌드,1인분 (135g)당,213kcal,5.00g,37.00g,5.00g
257,쑥떡쑥떡,1개 (75ml)당,130kcal,4.80g,20.00g,2.00g
258,크래빗,5개 (90g)당,85kcal,1.20g,9.00g,10.00g
259,크림어니언맛 감자칩,1인분 (45g)당,265kcal,18.00g,24.00g,2.00g
260,치즈불고기 버거,1개 (245g)당,710kcal,42.00g,61.00g,22.00g
261,크림 가득 메론빵,100g당,379kcal,15.00g,55.00g,6.00g
262,에멘탈 치즈빵,1인분 (75g)당,302kcal,10.00g,40.00g,13.00g
263,스팸참치김치 밥버거,1개 (230g)당,414kcal,14.00g,61.00g,11.00g
264,쫀득롤케익 초코,1인분 (140g)당,495kcal,28.00g,53.00g,7.00g
265,베이컨 땡초 김밥,1인분 (233g)당,356kcal,8.00g,58.00g,13.00g
266,보쌈겹살,1회 (150g)당,438kcal,30.00g,1.00g,41.00g
267,토핑3배참치마요,1인분 (157g)당,278kcal,6.00g,48.00g,8.00g
268,남도 떡갈비 김밥,1인분 (243g)당,421kcal,13.00g,62.00g,14.00g
269,고기2배,1인분 (108g)당,200kcal,3.50g,34.00g,8.00g
270,불고기 전주비빔 주먹밥,1회 (159g)당,279kcal,7.00g,46.00g,8.00g
271,최애 햄참마,1인분 (105g)당,193kcal,4.50g,33.00g,5.00g
272,티라미수 크림모찌,1개 (80g)당,185kcal,1.50g,40.00g,3.00g
273,트리플 불고기 치즈버거,1인분 (220g)당,694kcal,46.00g,47.00g,23.00g
